,Years after policy passed,People released (per year),People released (cumulative),"Life years saved (real-time, per year)","Life years saved (real-time, cumulative)","Life years saved (all-at-once, per year)","Life years saved (all-at-once, cumulative)","Cost avoided (real-time, per year)","Cost avoided (real-time, cumulative)","Cost avoided (immediate, per year)","Cost avoided (immediate, cumulative)","Labor boost (real-time, per year)","Labor boost (real-time, cumulative)","Labor boost (immediate, per year)","Labor boost (immediate, cumulative)"
0,1,139.14997611619074,139.14997611619074,132.014079905104,132.014079905104,2237.7337996743277,2237.7337996743277,1669299.5584288535,1669299.5584288535,28295830.61414992,28295830.61414992,1915574.8008092628,1915574.8008092628,32470373.468168043,32470373.468168043
1,2,15.270817891725551,154.4207940079163,133.72669499576486,265.74077490086887,2440.6073289555225,4678.341128629851,1690955.3364841472,3360254.894913001,30861137.98961653,59156968.60376645,1940425.50092787,3856000.3017371325,35414145.98638465,67884519.4545527
2,3,123.94032304913168,278.361117057048,220.12404866462492,485.8648235654938,4476.12987847796,9154.471007107812,2783437.7779973694,6143692.67291037,56600035.65517082,115757004.25893727,3194084.15357796,7050084.455315093,64950356.85985416,132834876.31440686
3,4,27.120483257107246,305.48160031415523,223.85918062425657,709.7240041897503,4866.115101528386,14020.586108636198,2830667.998708437,8974360.671618808,61531344.20271223,177288348.4616495,3248282.3471699688,10298366.802485062,70609191.63339026,203444067.94779712
4,5,112.16056034051162,417.64216065466684,285.7547210627293,995.4787252524795,6666.469278811083,20687.055387447283,3613328.442177263,12587689.11379607,84296570.72486712,261584919.18651664,4146410.3167898594,14444777.119274922,96733019.46306929,300177087.4108664
